text,tag,score
Isabella Neumann,PER,0.9999973773956299
Rheinhessen,LOC,0.9999953508377075
Isabella,PER,0.9999678134918213
Matthias Unnath,PER,0.9999973773956299
Matthias Unnath,PER,0.9999972581863403
Matthias Unnath,PER,0.9999971389770508
Matthias Unnath,PER,0.9999973773956299
Matthias Unnath,PER,0.9999971985816956
Euro,MISC,0.9995914101600647
Neumann,PER,0.9999691247940063
Isabella Neumann,PER,0.9999973177909851
Bettina Friedrich,PER,0.9999966025352478
Hengen,LOC,0.9999581575393677
Bettina,PER,0.9999932050704956
Birgit,PER,0.9999892711639404
Bettina,PER,0.9999935626983643
Grundig,ORG,0.9999860525131226
QX6,MISC,0.9999891519546509
AEG,ORG,0.9999896287918091
Euro,MISC,0.99943608045578
Bosch,ORG,0.9999862909317017
Euro,MISC,0.9431160688400269
Dyson,ORG,0.9998403787612915
V15 detect,MISC,0.9748176634311676
Kobold,ORG,0.6045372486114502
VB100,MISC,0.9996505975723267
Euro,MISC,0.9994851350784302
TÜV Süd,ORG,0.9999825358390808
Markus Nohe,PER,0.999997079372406
Bettina,PER,0.9999935626983643
Birgit,PER,0.9999918937683105
Bosch,ORG,0.9999791383743286
Bosch,ORG,0.9999850988388062
Grundig,ORG,0.897387683391571
Dyson,ORG,0.9999480247497559
Dyson,MISC,0.9999834299087524
Dyson,MISC,0.9999743700027466
Bettina,PER,0.9999899864196777
Beutel,PER,0.9997304081916809
Euro,MISC,0.9999798536300659
Vorwerk,PER,0.9823864698410034
QX6,MISC,0.9999886751174927
AEG,ORG,0.99998939037323
AEG,ORG,0.9999902248382568
AEG,ORG,0.9999903440475464
Grundig,ORG,0.9995418787002563
AEG,ORG,0.999991774559021
Dyson,MISC,0.9999860525131226
Dyson,MISC,0.9999842643737793
Dyson,PER,0.9999585151672363
Dyson,MISC,0.9999316930770874
Bettinas,PER,0.9999858140945435
Bosch,ORG,0.999971866607666
Dyson,MISC,0.9993780851364136
Bosch,ORG,0.9999701976776123
AEG,ORG,0.9999887943267822
Dyson,MISC,0.999988317489624
Bosch,ORG,0.9079434275627136
Möller,PER,0.999985933303833
Berlin,LOC,0.9998970031738281
BGH,ORG,0.999992847442627
BGH,ORG,0.9999872446060181
Julian Frano,PER,0.999997615814209
Stuttgart Stammheim,LOC,0.9992420971393585
Bezirksbaugenossenschaft Altwürttemberg,ORG,0.9999827146530151
Julian Frano,PER,0.999997615814209
Julian Frano,PER,0.9999974370002747
Julian Frano,PER,0.999997615814209
Julian Frano,PER,0.9999975562095642
Mieterverein Stuttgart,ORG,0.9999828338623047
Julian Frano,PER,0.9999974966049194
Stammheim,LOC,0.9999803304672241
Julian Frano,PER,0.9999975562095642
BGH,ORG,0.9999734163284302
BGH,ORG,0.9999890327453613
Paul,PER,0.9999915361404419
Susanne,PER,0.9999933242797852
Paul,PER,0.9999922513961792
Susanne,PER,0.9999912977218628
Paul,PER,0.9999902248382568
Paul,PER,0.9999916553497314
Susanne,PER,0.9999901056289673
Paul,PER,0.9999899864196777
Susanne,PER,0.9999909400939941
Paul,PER,0.999990701675415
Jesus,PER,0.9999798536300659
Maria,PER,0.9999421834945679
Susanne,PER,0.9999922513961792
Paul,PER,0.9999901056289673
Saarbrücken,LOC,0.9999932050704956
Saarbrücken,LOC,0.9999966621398926
Saarbrücken,LOC,0.9999972581863403
BGH,ORG,0.9999895095825195
Möller,PER,0.9999892711639404
Neustadt an der Weinstraße,LOC,0.9999726712703705
Sandra Morsch,PER,0.9999971985816956
Henry,PER,0.9999798536300659
Sandra,PER,0.9999830722808838
Sandra,PER,0.9999874830245972
Sandra,PER,0.9999839067459106
Mathilde Kersting,PER,0.9999976754188538
für Kinderernährung,ORG,0.984030693769455
Bochum,LOC,0.9999961853027344
Bundesministerium für Ernährung und Landwirtschaft,ORG,0.9999871253967285
Matthias Riedl,PER,0.9999976754188538
WHO,ORG,0.9999825954437256
Sabine Holzäpfel,PER,0.9999971389770508
Verbraucherzentrale Baden-Württemberg,ORG,0.9999643564224243
Europäische,ORG,0.9999772310256958
Sandra Morsch,PER,0.999997079372406
Henry,PER,0.9999867677688599
Helena,PER,0.9999843835830688
Hannes,PER,0.9999711513519287
Henry,PER,0.999984622001648
Mathilde Kersting,PER,0.9999974966049194
Sandra Morsch,PER,0.9999973177909851
Bundesministerium für Ernährung und Landwirtschaft,ORG,0.9999866008758544
SWR Fernsehen,ORG,0.9999884963035583
SWR,ORG,0.9999792575836182
