part,compound,similar,num_similiar
Miet,Mietminderung,"Mietminderung, Monatsmieten, Bruttomiete, Mietrecht, Mietzahlung, Warmmiete",6
Minderung,Mietminderung,Mietminderung,1
Lebens,Lebensmittel,Lebensmittel,1
Mittel,Lebensmittel,"Lebensmittel, Hilfsmittel",2
Akkus,Akkusauger,Akkusauger,1
Auger,Akkusauger,"Akkusauger, Staubsauger, Stielstaubsauger, Handsauger",4
Saug,Saugleistung,"Akkusauger, Saugleistung, Saugkraft, Staubsauger, Stielstaubsauger, Handsauger, Aufsaugen",7
Leistung,Saugleistung,Saugleistung,1
Winter,Wintergarten,Wintergarten,1
Garten,Wintergarten,Wintergarten,1
Vor,Vorwerk,"Vorwerk, Vorteil, Vorlauf, Vordermann",4
Werk,Vorwerk,Vorwerk,1
Heiz,Heizkörper,"Heizkörper, Heizkosten, Heizenergieverbrauchs, Heizungsraum, Heizenergie, Heizwasser, Heizungsanlage",7
Körper,Heizkörper,Heizkörper,1
Stich,Stichprobe,"Stichprobe, Stichwort",2
Probe,Stichprobe,Stichprobe,1
Monats,Monatsmieten,Monatsmieten,1
Mieten,Monatsmieten,Monatsmieten,1
Energie,Energieberater,"Energieberater, Energiepreise, Energieverbrauchskennwert, Heizenergieverbrauchs, Heizenergie, Energiespartipps",6
Berater,Energieberater,Energieberater,1
Saug,Saugkraft,"Akkusauger, Saugleistung, Saugkraft, Staubsauger, Stielstaubsauger, Handsauger, Aufsaugen",7
Kraft,Saugkraft,Saugkraft,1
Bau,Bausubstanz,"Bausubstanz, Baulärm, Bausachverständigen",3
Substanz,Bausubstanz,Bausubstanz,1
Gebrauchs,Gebrauchstauglichkeit,Gebrauchstauglichkeit,1
Tauglichkeit,Gebrauchstauglichkeit,Gebrauchstauglichkeit,1
Brutto,Bruttomiete,Bruttomiete,1
Miete,Bruttomiete,"Monatsmieten, Bruttomiete, Warmmiete",3
Bau,Baulärm,"Bausubstanz, Baulärm, Bausachverständigen",3
Lärm,Baulärm,Baulärm,1
Warm,Warmwassertemperatur,"Warmwassertemperatur, Warmwasser, Warmmiete",3
Wassertemperatur,Warmwassertemperatur,Warmwassertemperatur,1
Markt,Marktcheck,Marktcheck,1
Check,Marktcheck,"Marktcheck, Praxis-Check",2
Gas,Gasrechnung,"Gasrechnung, Gaspreise, Gasverbrauch, Gaspreisen",4
Rechnung,Gasrechnung,"Gasrechnung, Verbrauchsabrechnungen",2
Kilowatt,Kilowattstunde,Kilowattstunde,1
Stunde,Kilowattstunde,Kilowattstunde,1
Warm,Warmwasser,"Warmwassertemperatur, Warmwasser, Warmmiete",3
Wasser,Warmwasser,"Warmwassertemperatur, Warmwasser, Heizwasser, Abwasserkosten",4
Durchschnitts,Durchschnittsverbrauch,Durchschnittsverbrauch,1
Verbrauch,Durchschnittsverbrauch,"Durchschnittsverbrauch, Verbraucherzentrale, Gasverbrauch, Verbrauchsabrechnungen, Energieverbrauchskennwert, Verbrauch, Heizenergieverbrauchs",7
Wärme,Wärmeübertragung,"Wärmeübertragung, Wärmeverlustfaktor",2
Übertragung,Wärmeübertragung,Wärmeübertragung,1
Raum,Raumtemperatur,"Raumtemperatur, Heizungsraum",2
Temperatur,Raumtemperatur,"Warmwassertemperatur, Raumtemperatur, Temperaturunterschied",3
Wohn,Wohnzimmer,Wohnzimmer,1
Zimmer,Wohnzimmer,Wohnzimmer,1
Heiz,Heizkosten,"Heizkörper, Heizkosten, Heizenergieverbrauchs, Heizungsraum, Heizenergie, Heizwasser, Heizungsanlage",7
Kosten,Heizkosten,"Heizkosten, Abwasserkosten",2
Luft,Luftfeuchtigkeit,"Luftfeuchtigkeit, Luftumwälzung",2
Feuchtigkeit,Luftfeuchtigkeit,Luftfeuchtigkeit,1
Staubs,Staubsauger,"Staubsauger, Stielstaubsauger",2
Auger,Staubsauger,"Akkusauger, Staubsauger, Stielstaubsauger, Handsauger",4
Staub,Staubbehälter,"Staubsauger, Staubbehälter, Stielstaubsauger",3
Behälter,Staubbehälter,Staubbehälter,1
Vor,Vorteil,"Vorwerk, Vorteil, Vorlauf, Vordermann",4
Teil,Vorteil,Vorteil,1
Stich,Stichwort,"Stichprobe, Stichwort",2
Wort,Stichwort,Stichwort,1
Miet,Mietrecht,"Mietminderung, Monatsmieten, Bruttomiete, Mietrecht, Mietzahlung, Warmmiete",6
Recht,Mietrecht,Mietrecht,1
Räumungs,Räumungsklage,Räumungsklage,1
Klage,Räumungsklage,Räumungsklage,1
Nach,Nachbar,"Nachbar, Nachzahlung, Nachtabsenkung",3
Bar,Nachbar,Nachbar,1
Ein,Einschätzung,"Einschätzung, Einzelfall, Einfamilienhaus",3
Schätzung,Einschätzung,Einschätzung,1
Miet,Mietzahlung,"Mietminderung, Monatsmieten, Bruttomiete, Mietrecht, Mietzahlung, Warmmiete",6
Zahlung,Mietzahlung,"Mietzahlung, Nachzahlung",2
Amts,Amtsgericht,Amtsgericht,1
Gericht,Amtsgericht,Amtsgericht,1
Bau,Bausachverständigen,"Bausubstanz, Baulärm, Bausachverständigen",3
Sachverständigen,Bausachverständigen,Bausachverständigen,1
Treppen,Treppenhaus,Treppenhaus,1
Haus,Treppenhaus,"Treppenhaus, Einfamilienhaus, 140-Quadratmeter-Haus",3
Einzel,Einzelfall,Einzelfall,1
