search-term,result-term,url,wdid,aliases
Akkusauger,,,,
Aufsaugen,,,,
Bausachverständigen,,,,
Durchschnittsverbrauch,,,,
Energieberater,Energieberater,http://www.wikidata.org/entity/Q1341241,Q1341241,Energiefachberater
Energiepreise,,,,
Energiespartipps,,,,
Energieverbrauchskennwert,Energieverbrauchskennwert,http://www.wikidata.org/entity/Q1341455,Q1341455,"Energiekennzahl, Heizenergieverbrauchskennwert, Stromverbrauchskennwert"
Freitagmorgen,,,,
Gasverbrauch,,,,
Gebrauchstauglichkeit,Gebrauchstauglichkeit,http://www.wikidata.org/entity/Q216378,Q216378,"Usability, Prozessangemessenheit, Usable, Benutzbarkeitsrichtlinien"
Handsauger,,,,
Heizenergie,Heizenergiebedarf,http://www.wikidata.org/entity/Q1601429,Q1601429,"Heizwärmebedarf, Heizbedarf, Warmwasserwärmebedarf, Trinkwasserwärmebedarf, Heiztechnikenergiebedarf, Heizenergie"
Heizenergieverbrauchs,,,,
Heizkosten,,,,
Heizkörper,Heizkörper,http://www.wikidata.org/entity/Q1572702,Q1572702,Heizkörperexponent
Heizungsanlage,Heizung,http://www.wikidata.org/entity/Q3588251,Q3588251,"Beheizungsgerät, Heizungsgerät, Beheizgerät, Wärmegerät, Wärmeerzeuger, Wärmequelle, Wärmeanlage, Heizungsanlage"
Heizungsraum,,,,
Heizwasser,,,,
Mietminderung,Mietvertrag,http://www.wikidata.org/entity/Q1932287,Q1932287,"Mieter, Vermieter, Mietzins, Mietminderung, Mietrecht, Mietkürzung, Vermietung"
Mietrecht,Mietvertrag,http://www.wikidata.org/entity/Q1932287,Q1932287,"Mieter, Vermieter, Mietzins, Mietminderung, Mietrecht, Mietkürzung, Vermietung"
Mietzahlung,,,,
Monatsmieten,,,,
Saugleistung,,,,
Staubsauger,Staubsauger,http://www.wikidata.org/entity/Q101674,Q101674,"Bodenstaubsauger, Industriestaubsauger, Allessauger, Handstaubsauger, Kesselsauger"
Stielstaubsauger,,,,
Verbraucherzentrale,Verbraucherzentrale,http://www.wikidata.org/entity/Q2514275,Q2514275,"Verbraucherzentralen, Verbraucherschutzzentrale"
Verbrauchsabrechnungen,,,,
Warmmiete,,,,
raustragen,,,,
